"400N1_1#002"
""
"Potential (V)";"Current (uA)"
"0.48000";"384.20834"
"0.47800";"383.12500"
"0.47600";"382.08334"
"0.47400";"381.08334"
"0.47200";"380.04166"
"0.47000";"378.91666"
"0.46800";"377.70834"
"0.46600";"376.50000"
"0.46400";"375.29166"
"0.46200";"374.00000"
"0.46000";"372.75000"
"0.45800";"371.50000"
"0.45600";"370.25000"
"0.45400";"368.87500"
"0.45200";"367.50000"
"0.45000";"366.08334"
"0.44800";"364.62500"
"0.44600";"363.08334"
"0.44400";"361.58334"
"0.44200";"360.00000"
"0.44000";"358.41666"
"0.43800";"356.62500"
"0.43600";"354.83334"
"0.43400";"353.12500"
"0.43200";"351.50000"
"0.43000";"349.75000"
"0.42800";"347.83334"
"0.42600";"345.87500"
"0.42400";"344.04166"
"0.42200";"342.16666"
"0.42000";"340.25000"
"0.41800";"338.25000"
"0.41600";"336.16666"
"0.41400";"334.12500"
"0.41200";"332.08334"
"0.41000";"330.08334"
"0.40800";"327.95834"
"0.40600";"325.62500"
"0.40400";"323.33334"
"0.40200";"321.04166"
"0.40000";"318.79166"
"0.39800";"316.37500"
"0.39600";"313.87500"
"0.39400";"311.37500"
"0.39200";"308.83334"
"0.39000";"306.25000"
"0.38800";"303.54166"
"0.38600";"300.75000"
"0.38400";"298.00000"
"0.38200";"295.20834"
"0.38000";"292.37500"
"0.37800";"289.37500"
"0.37600";"286.45834"
"0.37400";"283.45834"
"0.37200";"280.37500"
"0.37000";"277.16666"
"0.36800";"274.04166"
"0.36600";"271.04166"
"0.36400";"267.91666"
"0.36200";"264.62500"
"0.36000";"261.20834"
"0.35800";"257.83334"
"0.35600";"254.62500"
"0.35400";"251.25000"
"0.35200";"247.79167"
"0.35000";"244.08333"
"0.34800";"240.37500"
"0.34600";"236.70833"
"0.34400";"233.00000"
"0.34200";"229.25000"
"0.34000";"225.33333"
"0.33800";"221.41667"
"0.33600";"217.62500"
"0.33400";"213.79167"
"0.33200";"209.87500"
"0.33000";"205.70833"
"0.32800";"201.54167"
"0.32600";"197.58333"
"0.32400";"193.54167"
"0.32200";"189.45833"
"0.32000";"185.04167"
"0.31800";"180.66667"
"0.31600";"176.33333"
"0.31400";"172.04167"
"0.31200";"167.66667"
"0.31000";"163.08333"
"0.30800";"158.45833"
"0.30600";"153.91667"
"0.30400";"149.37500"
"0.30200";"144.79167"
"0.30000";"140.08333"
"0.29800";"135.37500"
"0.29600";"130.87500"
"0.29400";"126.33334"
"0.29200";"121.79166"
"0.29000";"116.95834"
"0.28800";"112.00000"
"0.28600";"107.16666"
"0.28400";"102.25000"
"0.28200";"97.45834"
"0.28000";"92.41666"
"0.27800";"87.37500"
